Date,ID_Produit,Quantite_Vendue
2024-01-31,P002,8
2024-01-31,P003,5
2024-01-31,P004,3
2024-01-31,P005,7
2024-01-31,P006,4
2024-01-31,P007,11
2024-01-31,P008,2
2024-01-31,P009,5
2024-01-31,P010,3
2024-02-01,P011,4
2024-02-01,P012,18
2024-02-01,P013,12
2024-02-01,P014,7
2024-02-01,P015,6
2024-02-01,P016,3
2024-02-01,P017,35
2024-02-01,P018,4
2024-02-01,P019,8
2024-02-01,P020,5
2024-02-02,P021,2
2024-02-02,P022,6
2024-02-02,P023,9
2024-02-02,P024,2
2024-02-02,P025,4
2024-02-02,P026,7
2024-02-02,P027,5
2024-02-02,P028,6
2024-02-02,P029,4
2024-02-02,P030,5
2024-02-03,P031,12
2024-02-03,P032,8
2024-02-03,P033,3
2024-02-03,P034,7
2024-02-03,P035,6
2024-02-03,P036,18
2024-02-03,P037,20
2024-02-03,P038,9
2024-02-03,P039,6
2024-02-03,P040,3
2024-02-04,P041,4
2024-02-04,P042,9
2024-02-04,P043,5
2024-02-04,P044,2
2024-02-04,P045,4
2024-02-04,P046,6
2024-02-04,P047,4
2024-02-04,P048,15
2024-02-04,P049,3
2024-02-04,P050,2
2024-02-05,P051,7
2024-02-05,P052,3
2024-02-05,P053,5
2024-02-05,P054,8
2024-02-05,P055,10
2024-02-05,P056,4
2024-02-05,P057,2
2024-02-05,P058,3
2024-02-05,P059,6
2024-02-05,P060,5
2024-02-06,P061,2
2024-02-06,P062,9
2024-02-06,P063,3
2024-02-06,P064,12
2024-02-06,P065,4
2024-02-06,P066,6
2024-02-06,P067,18
2024-02-06,P068,8
2024-02-06,P069,2
2024-02-06,P070,7
2024-02-07,P071,9
2024-02-07,P072,3
2024-02-07,P073,4
2024-02-07,P074,15
2024-02-07,P075,8
2024-02-07,P076,5
2024-02-07,P077,4
2024-02-07,P078,2
2024-02-07,P079,5
2024-02-07,P080,10
2024-02-08,P081,2
2024-02-08,P082,6
2024-02-08,P083,7
2024-02-08,P084,13
2024-02-08,P085,2
2024-02-08,P086,9
2024-02-08,P087,11
2024-02-08,P088,2
2024-02-08,P089,16
2024-02-08,P090,5
2024-02-09,P091,9
2024-02-09,P092,4
2024-02-09,P093,6
2024-02-09,P094,5
2024-02-09,P095,3
2024-02-09,P096,7
2024-02-09,P097,2
2024-02-09,P098,5
2024-02-09,P099,6
2024-02-09,P100,10
